Iteration,Agent_1,Agent_2,Agent_3
1,1,1,1
2,0.00649735218993898,0.0330193128917179,0.0500552151369296
3,0.0118553710234543,0.0715654985066094,0.0455616590791084
4,0.00172783106955367,0.0349888647968545,0.0187440396228399
5,0.00745891836662292,0.00901666992805164,0.037270733820865
6,0.00934754675222763,9.55163652183733e-05,0.0270721314020574
7,0.00731160835492533,0.0105627779808308,0.0158109857486424
8,0.00149982680300464,0.0278515889575555,0.0326901513263847
9,0.00295676216884776,0.0290478494569647,0.0033893757538716
10,0.00083100977860083,0.00481083542574184,0.00496306811033786
11,0.00485494800575546,0.00220884769858162,0.00581884189918691
12,3.36739605544048e-05,0.00866996548431373,0.0168165256862977
13,0.0051739789647561,0.0137457315484073,0.0164137501773902
14,0.0023229970105428,0.0595622934158352,0.0267756144156009
15,0.004908266730641,0.0462490536202496,0.0155609746071241
16,0.00372274191807109,0.00889905443531341,0.00592430031027116
17,0.00219795455319233,0.000667656151388696,0.0243337574943424
18,0.00904586235800599,0.00498891395821613,0.0235861781254852
19,0.00343863341669575,0.0291173647691508,0.00166255019441391
20,0.0154529375073155,0.0195522118913279,0.0222067334803258
21,0.000405446008437314,0.00167196749951232,0.0649261359450221
22,0.00147030408951755,0.0102807762765154,0.0121584652622989
23,0.00428139423940817,0.0255741519252317,0.0193395608986467
24,0.00451127868945459,0.00315476636086387,0.0160799546918798
25,0.00757904850329439,0.00178964750742905,0.0106387599062265
26,0.00569791442863723,0.0365389684335967,0.0284995504420021
27,0.00439594592657498,0.0225258513674617,0.00497261097121351
28,0.00333291796292624,0.00375429309516931,0.033279689230683
29,0.00173718487582511,0.0201419903704156,0.000968689955773649
30,0.0043820362629871,0.0257518348663348,0.0603271012601729
31,0.00415331822913954,0.00560283255942393,0.0384194025924312
32,0.000888059849678022,0.0232513426468955,0.0169002350631089
33,0.000422743738106274,0.00662326695048948,0.00907591392196586
34,0.00567221596591162,0.0386904324322812,0.0114885917235556
35,0.00697887988291955,0.0392605899195688,0.0289100831224776
36,0.00619407640367301,0.013132978751497,0.00766617831309183
37,0.000316086149294237,0.00818069557587606,0.0225018843536164
38,0.00397940042823934,0.0226957683264346,0.00111402256242438
39,0.00631196618305623,0.0442567637723481,0.013523374627364
40,0,0.00166073053045679,0.0389967028381621
41,0.00503262803762979,0.0370021265649122,0.0249184945337919
42,0.00384127562492878,0.0160573223095429,0.00855236213693938
43,0.00292913125507193,0.0221440294603888,0.0141300526887629
44,0.00296070998693399,0.0157113016553521,0.0653742026751774
45,0.00115977368083895,0.0106470814890734,0.0207749527193629
46,0.00401009007881393,0.00608955404344841,0.0373544200473657
47,0.00073338278247945,0.00878001443578366,0.00969164038268319
48,0.000819965648413332,0.0220911459373256,0.00594190788889401
49,0.00124307689008821,0.0283795599976799,0.0105756748127564
50,0.000543873878589198,0.0204889154689736,0.00406748544072427
51,0.0547196150865366,0.170841058285419,0.0307446327310606
52,0.00617584413939752,0.047282164948542,0.0304492747251936
53,0.012436120878419,0.0351056920909111,0.0253638421472904
54,0.0182119847882692,0.00432409718373671,0.00707631083503757
55,0.00181147871628426,0.015265348696093,0.00395722220837821
56,0.00562728189631385,0.0417057849639477,0.00616756706888047
57,0.00531404900719301,0.0267218009791909,0.0146478783110733
58,0.00433218054792311,0.00812296990494804,0.0321366818367307
59,0.00428921774178415,9.82733796501545e-05,0.0180172285017244
60,0.00580697595642048,0.0119701078410805,0.00117836608344932
61,0.00203790901501834,0.023007702644631,0.0320183656614774
62,0.000738837670721342,0.0195948553241754,0.0322699478943982
63,0.000718528003975052,0.03592280678569,0.0155283071421924
64,0.00216428632369268,0.0239550635970465,0.0338609640627224
65,0.000833242549133181,0.00858841444993544,0.00668384567781419
66,0.00159547697873716,0.0112281718554606,0.0156050873928982
67,0.000959086462401705,0.0164462835728009,0.0141779815743561
68,0.000959086462401705,0.0284970163778305,0.00411889899557843
69,0.00152168064785484,0.0389028369056438,0.00957247013669466
70,0.00152168064785484,0.00259844739227735,0.00548997079082242
71,0,0.0500570641686165,0.00396037921029649
72,0,0.0370588684414688,0.0107144638290153
73,0,0.00977150068106671,0.0188149018707959
74,0.00346717066905102,0.00466646000086861,0.0252466507192733
75,0.00346717066905102,0.0273862043552132,0.00352895689673491
76,0,0.000373189523216598,0.0222926932452334
77,0,0.0413687347183253,0.0240952171182304
78,0.000845961421171847,0.00753188509544714,0.00648935053924526
79,0.000589407272334252,0.0366895057868786,0.0241919791310066
80,0.000143555824189987,0.0351755642174315,0.0124070552519523
81,0.00129181286931611,5.43234389367708e-05,0.0265042062816783
82,0,0.00209082393032596,0.00543236692362745
83,0.00121323269002087,0.0103359700362166,0.016934450532956
84,0.00152255802974494,0.0195213339903707,0.0311612956501139
85,0.00208093528743779,0.0124528266540438,0.00217686687419386
86,0.00065485543232802,0.00166283401362607,0.014239389766344
87,0,0.0184098070090598,0.0127551034355959
88,0,0.0256602641375274,0.0206556222963644
89,0,0.00345379528300717,0.0118492640857914
90,0,0.00993862037773291,0.0134317468673796
91,0.000567064802660638,0.0122428917669794,0.024311630648146
92,0.000567064802660638,0.0103977173048762,0.00948486792983044
93,0,0.0270005210081717,0.0137910387889905
94,0.0016593063374625,0.00842139190418779,0.0337485637147909
95,0.0016593063374625,0.00361907958638709,0.0392284873193087
96,0,0.00993606013528153,0.015846179721481
97,0,0.00723399093787661,0.0071210690279625
98,0,0.0112688013600136,0.0229659951390042
99,0,0.0258204882453467,0.0131247106885114
100,0,0.0295542320074037,0.00423061109434336
